field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_access_details,field_neon_field_operations_office,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_elevation_m,field_minimum_elevation_m,field_maximum_elevation_m,field_mean_annual_temperature_C,field_mean_annual_precipitation_mm,field_dominant_wind_direction,field_mean_canopy_height_m,field_dominant_nlcd_classes,field_domint_plant_species,field_usgs_huc,field_watershed_name,field_watershed_size_km2,field_lake_depth_mean_m,field_lake_depth_max_m,field_tower_height_m,field_usgs_geology_unit,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_grean_increase_doy,field_avg_green_max_doy,field_avg_green_decrease_doy,field_avg_green_min_doy,field_phenocams,field_number_tower_levels
D04,GUAN,Guanica Forest NEON,Core Terrestrial,,,"State Forest, Dept. of Natural and Environmental Resources, Commonwealth of Puerto Rico",,Limited,It is highly recommended that prospective researchers make contact well in advance of any planned work (> 6 months) as there are multiple steps and a high level of coordination that must take place to gain permission and access to this area. All requests will be evaluated on a case-by-case basis by the site hosts.,Domain 04 Support Facility,17.96955,-66.8687,WGS84,1988112.213,725706.1285,19N,Guanica Municipio,PR,USA,125,8,209,23,840,S,10,Evergreen Forest,Gymnanthes lucida (oysterwood)|Croton lucidus (firebush)|Eugenia foetida (Spanish stopper),,,,,,23,Tjd,"Coarse, loamy, carbonatic, isohyperthermic. Typic Haplocalcids.",Typic Haplocalcids,365,,,,,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.GUAN.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.GUAN.DP1.00042),5
D04,GUIL,Rio Guilarte NEON,Gradient Aquatic,Wadeable Stream,,University of Puerto Rico,,Yes,"The site host actively encourages research at this site, however all requests will be evaluated on a case-by-case basis. Please note that due to the high density of research taking place in this area, it is critical to coordinate closely with the site host to ensure no conflicts with ongoing research; start permitting > 6 months prior to scheduled start.",Domain 04 Support Facility,18.17406,-66.79868,WGS84,2010843.814,732872.1887,19N,Adjuntas Municipio,PR,USA,551,,,,,,,Evergreen Forest|Grassland/Herbaceous,,[h21010003](https://water.usgs.gov/lookup/getwatershed?21010003),Culebrinas-Guanajibo,9.6,,,,Tkal|TKl,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.GUIL.DP1.20002),
D01,HARV,Harvard Forest & Quabbin Watershed NEON,Core Terrestrial,,HOPB,Harvard University|Massachusetts DCR Division of Water Supply Protection,https://harvardforest.fas.harvard.edu/conducting-research|https://www.mass.gov/service-details/watershed-permits,Yes / Limited,Field site managed by Harvard University - open to additional research via the Harvard Experimental Forest website. Many other colocated research projects within NEON area. / Field site located in the Quabbin Resevoir - Massachusetts DCR Division of Water Supply Protection . This property is very limited to additional research - researchers should take necessary coordinations with the DCR.,Domain 01 Support Facility,42.53691,-72.17265,WGS84,4713265.041,732183.1938,18N,Worcester,MA,USA,348,160,415,7.4,1199,NW,26,Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands,Osmunda cinnamomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock),,,,,,39,MADht;0|MAOps;0,"Coarse, loamy over sandy or sandy, skeletal, mixed, semiactive, frigid.  Oxyaquic Dystrudepts.",Oxyaquic Dystrudepts,210,110,160,220,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.HARV.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.HARV.DP1.00042),6
D19,HEAL,Healy NEON,Gradient Terrestrial,,,Alaska Department of Natural Resources,http://dnr.alaska.gov/,Yes,Reseachers should coordinate with the site manager.,Domain 18/19 Support Facility,63.875798,-149.21335,WGS84,7085047.865,391276.5986,6N,Denali,AK,USA,677,588,717,-1.3,385,NW,0.3,Dwarf Scrub|Evergreen Forest|Shrub/Scrub,Betula glandulosa / Betula  (American dwarf birch)|Picea glauca (white spruce)|Ledum palustre (marsh Labrador tea),,,,,,9,B006.HE002_570,,Lithic Haplustepts,110,135,180,210,245,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D19.HEAL.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D19.HEAL.DP1.00042),4
D01,HOPB,Lower Hop Brook NEON,Core Aquatic,Wadeable Stream,HARV,Massachusetts DCR Division of Water Supply Protection,https://www.mass.gov/service-details/watershed-permits,Limited,Field site located in the Quabbin Resevoir - Massachusetts DCR Division of Water Supply Protection . This property is very limited to additional research - researchers should take necessary coordinations with the DCR.,Domain 01 Support Facility,42.471941,-72.329526,WGS84,4705615.726,719519.9768,18N,Franklin,MA,USA,203,,,7.9,1368,,,Evergreen Forest|Mixed Forest,,[h01080204](https://water.usgs.gov/lookup/getwatershed?01080204),Chicopee,11.9,,,,MAOps;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D01.HOPB.DP1.20002),
D03,JERC,The Jones Center At Ichauway NEON,Gradient Terrestrial,,FLNT,"Robert Woodruff Foundation, Inc.",http://www.jonesctr.org/research/,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,31.194839,-84.468623,WGS84,3453956.371,741205.7224,16N,Baker,GA,USA,47,29,55,19.2,1308,NE,27,Cultivated Crops|Deciduous Forest|Evergreen Forest|Mixed Forest,Aristida beyrichiana (wiregrass)|Quercus falcata (southern red oak)|Pinus palustris (longleaf pine),,,,,,42,GAEOo;1,"Loamy, kaolinitic, thermic.  Arenic Kandiudults.",Arenic Kandiudults,220,90,175,220,310,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.JERC.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.JERC.DP1.00042),6
D14,JORN,Jornada Experimental Range NEON,Gradient Terrestrial,,,USDA-Agricultural Research Service,https://jornada.nmsu.edu/,Yes,"JORN encourages research activities that do not conflict with on-going activities. Please apply directly with site host and USDA for a site research permit.  All requests are reviewed for impacts to cultural resources, endangered species and other research activities.",Domain 14 Support Facility,32.590694,-106.84254,WGS84,3607409.16,327074.62,13N,Dona Ana,NM,USA,1324,1316,1333,15.7,271,SW,0.4,Shrub/Scrub,Prosopis glandulosa (honey mesquite)|Yucca elata (soaptree yucca)|Bouteloua eriopoda (black grama grass),,,,,,8,NMQTs;0,"Coarse, loamy, mixed, superactive, thermicc. Typic Petrocalcids.",Typic Petrocalcids,260,80,185,245,340,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D14.JORN.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D14.JORN.DP1.00042),4
D06,KING,Kings Creek NEON,Core Aquatic,Wadeable Stream,KONA,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,The Nature Conservancy and Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,39.105061,-96.603829,WGS84,4331170.418,707234.5703,14N,Riley,KS,USA,324,,,12.7,860,,,Deciduous Forest,,[h10270101](https://water.usgs.gov/lookup/getwatershed?10270101),Upper Kansas,13,,,,KSPcg;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KING.DP1.20002),
D06,KONA,Konza Prairie Agroecosystem NEON,Gradient Terrestrial,,KING,Kansas State University,https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,KSU - Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,39.110446,-96.612935,WGS84,4331745.281,706389.4538,14N,Riley,KS,USA,323,312,359,12.7,850,SSW,,Cultivated Crops,"Agriculture field, crops vary year to year",,,,,,8,KSQal3;0,"Fine, smectitic, mesic.  Pachic Vertic Argiudolls.",Pachic Vertic Argiudolls,210,90,160,210,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONA.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONA.DP1.00042),4
D06,KONZ,Konza Prairie Biological Station NEON,Core Terrestrial,,,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,The Nature Conservancy and Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,39.100774,-96.563075,WGS84,4330786.534,710729.798,14N,Riley,KS,USA,414,333,443,12.4,870,SSW,1.5,Deciduous Forest|Grassland/Herbaceous,Cornus drummondii (Roughleaf Dogwood)|Schizachyrium scoparium (Little Bluestem)|Andropogon gerardii (Big Bluestem),,,,,,8,KSPc;0,"Fine, smectitic, mesic. Pachic Udertic Argiustolls.",Pachic Udertic Argiustolls,210,90,160,210,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONZ.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.KONZ.DP1.00042),4
D04,LAJA,Lajas Experimental Station NEON,Gradient Terrestrial,,,University of Puerto Rico,,Limited,"The site host actively encourages research at this site, however all requests will be evaluated on a case-by-case basis. Please note that due to the high density of research taking place in this area, it is critical to coordinate closely with the site host to ensure no conflicts with ongoing research.; > 6months prior to planned schedule.",Domain 04 Support Facility,18.021261,-67.076889,WGS84,1993593.871,703591.1281,19N,Lajas Municipio,PR,USA,16,13,41,25,830,SSE,0.4,Cultivated Crops|Grassland/Herbaceous|Pasture/Hay,Pithecellobium dulce (pinzán)|Cynodon nlemfuensis (African bermudagrass)|Urochloa maxima (guineagrass),,,,,,8,Qa,"Fine, mixed, superactive, isohyperthermic.  Sodic Haplusterts.",Sodic Haplusterts,365,,,,,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.LAJA.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D04.LAJA.DP1.00042),4
D07,LECO,LeConte Creek NEON,Gradient Aquatic,Wadeable Stream,GRSM,National Park Service,https://irma.nps.gov/rprs/,Yes,The National Park Service is open to additional research activities taking place in this area. Apply via IRMA Permitting portal.,Domain 07 Support Facility,35.690428,-83.50379,WGS84,3952502.4,273437.4965,17N,Sevier,TN,USA,579,,,13.1,1375,,,Deciduous Forest,,[h06010107](https://water.usgs.gov/lookup/getwatershed?06010107),Lower French Broad,9.1,,,,TNpCAs;15,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.LECO.DP1.20002),
D08,LENO,Lenoir Landing NEON,Gradient Terrestrial,,TOMB,US Army Corps of Engineers|US Fish and Wildlife Service,https://www.sam.usace.army.mil/|https://www.fws.gov/refuge/choctaw/,Limited /Yes,"This area is primarily intended to provide recreational opportunities and is also classified as a hunting area. As such, access is very limited but potentially possible. / The primary purpose of the refuge is to provide wood duck brood habitat and serve as a protected wintering area for waterfowl. Researchers should coordinate directly with site manager.",Domain 08 Support Facility,31.853861,-88.161181,WGS84,3524827.167,390139.6172,16N,Choctaw,AL,USA,13,,,18.1,1386,N,35,Deciduous Forest|Woody Wetlands,Liquidambar styraciflua (sweetgum)|Carpinus carolinia (American hornbeam)|Ilex decidua (possumhaw),,,,,,47,ALHalt;0,"Fine, mixed, active, acid, thermic.  Vertic Epiaquepts.",Vertic Epiaquepts,265,70,145,200,335,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.LENO.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.LENO.DP1.00042),6
D02,LEWI,Lewis Run NEON,Gradient Aquatic,Wadeable Stream,BLAN,Casey Tree Farm,https://caseytrees.org/about-us/casey-tree-farm/,Limited,Research on the Casey Tree Farm is limited - coordination required with farm management.,Domain 02 Support Facility,39.095637,-77.983216,WGS84,4331627.279,242002.1375,18N,Clarke,VA,USA,152,,,12.2,976,,,Deciduous Forest,,[h02070007](https://water.usgs.gov/lookup/getwatershed?02070007),Shenandoah,11.9,,,,VACAe;0,,,,,,,BLAN,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.LEWI.DP1.20002),
D05,LIRO,Little Rock Lake NEON,Gradient Aquatic,Lake,,Wisconsin Department of Natural Resources,https://dnr.wi.gov/Permits/,Yes,The site host has indicated support for additional research.,Domain 05 Support Facility,45.998269,-89.704767,WGS84,290559.717,5097412.448,16N,Vilas,WI,USA,502,,,4.4,796,,,Deciduous Forest|Mixed Forest,,[h07050002](https://water.usgs.gov/lookup/getwatershed?07050002),Flambeau,0.9,2.7,10.8,,WIXgg;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D05.LIRO.DP1.20002),
D16,MART,Martha Creek NEON,Core Aquatic,Wadeable Stream,,US Forest Service,https://www.fs.usda.gov/recarea/giffordpinchot/recreation/recarea/?recid=31184,Yes,Reseachers should coordinate with the site manager and submit a site research permit. Various on-going research projects to be aware of at site. Possible NOAA permit required to due sensitive fish species in stream.,Domain 16 Support Facility,45.790835,-121.93379,WGS84,5071408.747,583011.2516,10N,Skamania,WA,USA,337,,,9.6,2329,,,Evergreen Forest,,[h17070105](https://water.usgs.gov/lookup/getwatershed?17070105),Middle Columbia-Hood,6.3,,,,WAQv;0|WAEOOGv;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D16.MART.DP1.20002),
D08,MAYF,Mayfield Creek NEON,Core Aquatic,Wadeable Stream,TALL,Talladega National Forest,https://www.fs.usda.gov/detail/alabama/about-forest/districts/?cid=fsbdev3_002555,Yes,Researchers should coordinate directly with the US Forest Service for permitting and approval.,Domain 08 Support Facility,32.960365,-87.407688,WGS84,3646888.45,461856.8853,16N,Bibb,AL,USA,77,,,17.2,1379,,,Deciduous Forest|Mixed Forest,,[h03160113](https://water.usgs.gov/lookup/getwatershed?03160113),Lower Black Warrior,14.4,,,,ALKg;1|ALKck;1,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D08.MAYF.DP1.20002),
D06,MCDI,McDiffett Creek NEON,Gradient Aquatic,Wadeable Stream,,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,The Nature Conservancy and Konza Prairie Biological Station (KSU) welcomes and encourages research use that fits their mission and is compatible with their abilities as a host. Please plan on at more than two weeks advance notice to request and plan site access.,Domain 06 Support Facility,38.945861,-96.443022,WGS84,4313704.71,721693.8516,14N,Wabaunsee,KS,USA,396,,,12.2,921,,,Cultivated Crops|Grassland/Herbaceous,,[h10270102](https://water.usgs.gov/lookup/getwatershed?10270102),Middle Kansas,22.6,,,,KSPc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D06.MCDI.DP1.20002),
D16,MCRA,McRae Creek NEON,Gradient Aquatic,Wadeable Stream,,"US Forest Service, Oregon State University",https://andrewsforest.oregonstate.edu/,Yes,Researchers should coordinate directly with the US Forest Service and HJ Andrews Experimental Forest for permitting and approval.,Domain 16 Support Facility,44.259598,-122.16555,WGS84,4901044.973,566608.6324,10N,Linn,OR,USA,876,,,8.8,2188,,,Evergreen Forest,,[h17090004](https://water.usgs.gov/lookup/getwatershed?17090004),Mckenzie,3.9,,,,ORTfc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D16.MCRA.DP1.20002),
D07,MLBS,Mountain Lake Biological Station NEON,Gradient Terrestrial,,,University of Virginia|George Washington and Jefferson National Forest,https://mlbs.virginia.edu/resapp|https://www.fs.usda.gov/gwj/,Yes / Limited,Mountain Lake Biological Station is open to additional research activities taking place in this area. / Researchers should coordinate directly with the US Forest Service for permitting and approval.,Domain 07 Support Facility,37.378314,-80.524847,WGS84,4136943.44,542067.64,17N,Giles,VA,USA,1170,752,1320,8.8,1227,WNW,18,Deciduous Forest,Acer rubrum (red maple)|Quercus alba (northern red oak)|Quercus rubra (white oak),,,,,,29,VADSz;0,The dominant wind direction is west-northwest.,Fluvaquents,200,110,160,220,310,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.MLBS.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.MLBS.DP1.00042),6
D13,MOAB,Moab NEON,Gradient Terrestrial,,,Bureau of Land Management,https://www.blm.gov/office/moab-field-office,Yes,Reseachers should coordinate with the site manager.,Domain 10/13 Support Facility,38.248283,-109.38827,WGS84,4234596.509,641031.4708,12N,San Juan,UT,USA,1799,1722,2039,10.1,319,SSW,0.2,Evergreen Forest|Shrub/Scrub,Atriplex canescens (fourwing saltbush)|Ephedra viridis (Mormon tea)|Bouteloua gracilis (blue grama)  .,,,,,,8,UTQe;0,"Coarse, loamy, mixed, superactive, mesic. Ustic Haplocalcids.",Ustic Haplocalcids,215,85,165,225,300,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D13.MOAB.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D13.MOAB.DP1.00042),4
D13,NIWO,Niwot Ridge NEON,Core Terrestrial,,COMO,"US Forest Service, University of Colorado-Boulder",,Yes,Reseachers should coordinate with the site manager and submit a site research permit.,Domain 10/13 Support Facility,40.05425,-105.58237,WGS84,4433940.917,450328.2848,13N,Boulder,CO,USA,3490,2975,3583,0.3,1005,WNW,0.2,Evergreen Forest|Grassland/Herbaceous,Abies lasiocarpa (subapline fir)|Picea engelmannii (Engelmann spruce)|Vaccinium sp. (blueberry sp.),,,,,,8,COXb;0,"Coarse, loamy, mixed, superactive. Typic Haplocryolls.",Typic Haplocryolls,130,140,190,220,270,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D13.NIWO.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D13.NIWO.DP1.00042),4
D09,NOGP,Northern Great Plains Research Laboratory NEON,Gradient Terrestrial,,,USDA Agricultural Research Service,https://www.ars.usda.gov/plains-area/mandan-nd/ngprl/,Yes,This site host welcomes and encourages additional research activities related to the USDA Agricultural Research Service mission.,Domain 09 Support Facility,46.76972,-100.91535,WGS84,5181355.713,353761.6032,14N,Morton,ND,USA,589,517,592,5.9,457,NNE,0.4,Grassland/Herbaceous,Elaeagnus angustifolia (Russian olive)|Poa pratensis (Kentucky bluegrass)|Symphoricarpos occidentalis (Western snowberry),,,,,,8,NDQol;0,"Fine, loamy, mixed, superactive, frigid. Typic Argiustolls.",Typic Argiustolls,175,115,170,200,290,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D09.NOGP.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D09.NOGP.DP1.00042),4
D11,OAES,Marvin Klemme Range Research Station NEON,Gradient Terrestrial,,,Oklahoma State University,http://oaes.okstate.edu/,Limited,Reseachers should coordinate with the site manager.,Domain 11 Support Facility,35.410599,-99.058779,WGS84,3918579.067,494662.2504,14N,Washita,OK,USA,519,487,531,15.5,779,SE,1,Grassland/Herbaceous|Shrub/Scrub,Bouteloua dactyloides (buffalo grass)|Bouteloua gracilis (blue grama)|Bouteloua curtipendula (sideoats grama),,,,,,8,OKPdy;0,,Lithic Haplustepts,240,70|233,135|270,165|290,225|310,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D11.OAES.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D11.OAES.DP1.00042),4
D18,OKSR,Oksrukuyik Creek NEON,Core Aquatic,Wadeable Stream,TOOL,Bureau of Land Management,https://www.blm.gov/office/fairbanks-district-office,Yes,Reseachers should coordinate with the site manager.,Domain 18/19 Support Facility,68.669753,-149.14302,WGS84,413022.17,7619054.186,6N,North Slope,AK,USA,766,,,-9,316,,,Shrub/Scrub,,[h19060402](https://water.usgs.gov/lookup/getwatershed?19060402),Sagavanirktok River,57.8,,,,A003.PS002_400,,,,,,,,,
D15,ONAQ,Onaqui NEON,Core Terrestrial,,,Bureau of Land Management,https://www.blm.gov/office/salt-lake-field-office,Limited,Reseachers should coordinate with the site manager and submit a site research permit.,Domain 15 Support Facility,40.177599,-112.45245,WGS84,4448479.606,376339.6859,12N,Tooele,UT,USA,1662,1599,2061,9,288,SW,1.2,Evergreen Forest|Shrub/Scrub,Artemisia tridentata (big sagebrush)|Ceratocephala testiculata (curveseed butterwort)|Bromus tectorum (cheatgrass),,,,,,8,UTQa;0,"Fine, loamy, mixed, superactive, mesic. Xeric Haplocalcids.",Xeric Haplocalcids,205,75,130,170,280,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D15.ONAQ.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D15.ONAQ.DP1.00042),4
D07,ORNL,Oak Ridge NEON,Core Terrestrial,,WALK,Department of Energy,https://www.ornl.gov/division/esd,Very Limited,There is currently no system in place to authorize access for additional research activities to this federally secure area. Coordinate directly with site manager.,Domain 07 Support Facility,35.964128,-84.282588,WGS84,3983383.087,745052.4354,16N,Anderson,TN,USA,344,230,356,14.4,1340,WNW,28,Deciduous Forest|Evergreen Forest|Pasture/Hay,Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak),,,,,,39,TNOnc;10|TNCAcr;10,"Fine, kaolinitic, thermic. Typic Paleudults.",Typic Paleudults,225,90,140,210,315,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.ORNL.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D07.ORNL.DP1.00042),6
D03,OSBS,Ordway-Swisher Biological Station NEON,Core Terrestrial,,BARC|SUGG,University of Florida Foundation,https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,This area is a very active research community and will required a site research permit.,Domain 03 Support Facility,29.689282,-81.993431,WGS84,3284767.489,403886.418,17N,Putnam,FL,USA,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),,,,,,35,FLPOc;0,,Typic Quartzipsam-ments,245,70,150,190,315,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.OSBS.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D03.OSBS.DP1.00042),6
D02,POSE,Posey Creek NEON,Core Aquatic,Wadeable Stream,SCBI,Smithsonian Institution,,,,Domain 02 Support Facility,38.89431,-78.147258,WGS84,4308808.691,747457.7533,17N,Warren,VA,USA,276,,,11.8,1090,,,Deciduous Forest,,[h02070005](https://water.usgs.gov/lookup/getwatershed?02070005),South Fork Shenandoah,2,,,,VACAZc;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D02.POSE.DP1.20002),
D11,PRIN,Pringle Creek NEON,Core Aquatic,Wadeable Stream,CLBJ,US Forest Service,https://www.fs.usda.gov/detail/texas/about-forest/districts/?cid=fswdev3_008440,Very Limited,Researchers should coordinate directly with the US Forest Service for permitting and approval. Site host is very limited to external research requests.,Domain 11 Support Facility,33.378517,-97.782312,WGS84,3693920.968,613271.5081,14N,Wise,TX,USA,253,,,17.5,898,,,Deciduous Forest|Grassland/Herbaceous,,[h12030101](https://water.usgs.gov/lookup/getwatershed?12030101),Upper West Fork Trinity,48.9,,,,TXKa;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D11.PRIN.DP1.20002),
D09,PRLA,Prairie Lake NEON,Gradient Aquatic,Lake,DCFS,North Dakota Land Trust,https://www.land.nd.gov/,Yes,Reseachers should coordinate with the site manager.,Domain 09 Support Facility,47.15909,-99.11388,WGS84,5222849.742,491367.9402,14N,Stutsman,ND,USA,565,,,4.9,490,,,Grassland/Herbaceous,,[h10160002](https://water.usgs.gov/lookup/getwatershed?10160002),Pipestem,3.4,2.1,4.9,,NDQct;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D09.PRLA.DP1.20002),
D09,PRPO,Prairie Pothole NEON,Core Aquatic,Lake,WOOD,US Fish and Wildlife Service,https://www.fws.gov/refuge/chase_lake/,Yes,This site host welcomes and encourages additional research activities related to the US Fish And Wildlife mission.,Domain 09 Support Facility,47.129839,-99.253147,WGS84,5219640.042,480997.9682,14N,Stutsman,ND,USA,579,,,4.9,494,,,Grassland/Herbaceous,,[h07050002](https://water.usgs.gov/lookup/getwatershed?07050002),Pipestem,2.1,1.7,4.1,,NDQccr;0,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D09.PRPO.DP1.20002),
D20,PUUM,Pu'u Maka'ala Natural Area Reserve NEON,Core Terrestrial,,,Hawaii Forest Department of Land and Natural Resources,https://dlnr.hawaii.gov/ecosystems/nars/permits/,Yes,Researchers should coordinate with site manager and apply for a site research permit (3-6 months).,Domain 20 Support Facility,19.55309,-155.31731,WGS84,2163673.63,256868.7191,5N,Hawaii,HI,USA,1685,1034,1877,12.7,2657,,20,Evergreen Forest,Metrosideros polymorpha (ʻŌhiʻa)|Cibotium glaucum (hapu‘u)|Styphelia tameiameiae (pūkiawe),,,,,,32,Qk4|Qk2,,Typic Hapludands,365,,,,,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D20.PUUM.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D20.PUUM.DP1.00042),6
D15,REDB,Red Butte Creek NEON,Core Aquatic,Wadeable Stream,,"US Forest Service, University of Utah",https://www.fs.usda.gov/detail/uwcnf/about-forest/districts/?cid=fsem_035528|,Limited,Researchers should coordinate directly with the US Forest Service for permitting and approval.,Domain 15 Support Facility,40.783934,-111.79789,WGS84,4515056.814,432697.1044,12N,Salt Lake,UT,USA,1694,,,7.7,751,,,Deciduous Forest,,[h16020204](https://water.usgs.gov/lookup/getwatershed?16020204),Jordan,16.703218,,,,UTTR2;3,,,,,,,,[Land-water interface](https://phenocam.sr.unh.edu/webcam/sites/NEON.D15.REDB.DP1.20002),
D10,RMNP,Rocky Mountains NEON,Gradient Terrestrial,,,Roosevelt National Forest,https://www.fs.usda.gov/arp,Yes,Researchers should coordinate directly with the US Forest Service for permitting and approval.,Domain 10/13 Support Facility,40.275903,-105.54596,WGS84,4458524.203,453588.4118,13N,Larimer,CO,USA,2742,2454,3042,2.9,731,,19,Evergreen Forest,Pinus contorta (Lodgepole pine)|Abies lasiocarpa (Subalpine fir)|Pseudotsuga menziesii (Douglas-fir),,,,,,25,COYg;0,"Loamy, skeletal, mixed, superactive. Ustic Haplocryolls.",Ustic Haplocryolls,165,120,180,210,285,[Tower top](https://phenocam.sr.unh.edu/webcam/sites/NEON.D10.RMNP.DP1.00033)|[Tower bottom](https://phenocam.sr.unh.edu/webcam/sites/NEON.D10.RMNP.DP1.00042),5
